2026-08-16 12:25:48 INFO  Log4jTest:13 - 这是info模式的日志
2026-08-16 12:25:48 WARN  Log4jTest:14 - 这是warn模式的日志
2026-08-16 12:25:48 ERROR Log4jTest:15 - 这是error模式的日志
2026-08-16 12:26:13 INFO  BaseTest:26 - =================请求信息=================
2026-08-16 12:26:13 INFO  BaseTest:27 - 请求方法:post
2026-08-16 12:26:13 INFO  BaseTest:28 - 请求地址:http://mall.lemonban.com:8107/login
2026-08-16 12:26:13 INFO  BaseTest:29 - 请求头:{"Content-Type":"application/json; charset=UTF-8"}
2026-08-16 12:26:13 INFO  BaseTest:30 - 请求参数:{"principal":"lemon_auto","credentials":"lemon123456","appType":3,"loginType":0}
2026-08-16 12:26:15 INFO  BaseTest:55 - =================响应信息=================
2026-08-16 12:26:15 INFO  BaseTest:56 - 响应状态码:200
2026-08-16 12:26:15 INFO  BaseTest:57 - 响应时间:739ms
2026-08-16 12:26:15 INFO  BaseTest:58 - 响应头:[Vary=Origin, Vary=Access-Control-Request-Method, Vary=Access-Control-Request-Headers, X-Content-Type-Options=nosniff, X-XSS-Protection=1; mode=block, Cache-Control=no-cache, no-store, max-age=0, must-revalidate, Pragma=no-cache, Expires=0, X-Frame-Options=DENY, Set-Cookie=JSESSIONID=E1F9594008198CE863F2BEA0B99D7DE0; Path=/; HttpOnly, Content-Type=application/json;charset=UTF-8, Content-Length=319, Date=Sun, 16 Aug 2026 04:26:15 GMT, Keep-Alive=timeout=60, Connection=keep-alive]
2026-08-16 12:26:15 INFO  BaseTest:59 - 响应体:{"access_token":"386b2892-7d59-4b6c-99ac-a9308be324e9","token_type":"bearer","refresh_token":"06662625-4d41-4fe1-afb0-5122ca480cc2","expires_in":1295999,"pic":"http://shop.lemonban.com:8108/2026/08/bcfc99c64a204585bc345f9d5b50d189.png","userId":"09285971140c45218e69d90636c04dbe","nickName":"lemon_auto","enabled":true}
2026-08-16 12:26:16 INFO  BaseTest:26 - =================请求信息=================
2026-08-16 12:26:16 INFO  BaseTest:27 - 请求方法:Post
2026-08-16 12:26:16 INFO  BaseTest:28 - 请求地址:http://mall.lemonban.com:8107/login
2026-08-16 12:26:16 INFO  BaseTest:29 - 请求头:{"Content-Type":"application/json; charset=UTF-8"}
2026-08-16 12:26:16 INFO  BaseTest:30 - 请求参数:{"principal":"lemon_auto","credentials":"lemon123","appType":3,"loginType":0}
2026-08-16 12:26:16 INFO  BaseTest:55 - =================响应信息=================
